,State,Year,Price per kilogram
141,Guerrero,2023,20.333573825503354
142,Guerrero,2024,20.807624999999998
143,Hidalgo,2014,10.103774834437086
144,Hidalgo,2015,9.815000000000001
145,Hidalgo,2016,10.1489
146,Hidalgo,2017,10.613758389261745
147,Hidalgo,2018,11.133907284768211
148,Hidalgo,2019,11.421711409395973
149,Hidalgo,2020,12.344598214285714
150,Hidalgo,2021,14.558785714285714
151,Hidalgo,2022,17.409633333333336
152,Hidalgo,2023,18.104463087248323
153,Hidalgo,2024,18.39241666666667
154,Jalisco,2014,11.126291390728477
155,Jalisco,2015,10.871993243243244
156,Jalisco,2016,11.280999999999999
157,Jalisco,2017,11.908271812080537
158,Jalisco,2018,12.325182119205298
159,Jalisco,2019,12.48244966442953
160,Jalisco,2020,13.249046610169492
161,Jalisco,2021,13.719642857142857
162,Jalisco,2022,17.036983333333335
163,Jalisco,2023,19.03744966442953
164,Jalisco,2024,19.509354166666665
165,Michoacán,2014,10.955198675496689
166,Michoacán,2015,10.955
167,Michoacán,2016,11.076333333333334
168,Michoacán,2017,12.023489932885907
169,Michoacán,2018,12.208973509933776
170,Michoacán,2019,12.773557046979866
171,Michoacán,2020,13.494016393442623
172,Michoacán,2021,13.858112582781455
173,Michoacán,2022,16.564233333333334
174,Michoacán,2023,17.468154362416108
175,Michoacán,2024,17.74375
176,Morelos,2014,12.268013245033114
177,Morelos,2015,12.222871621621623
178,Morelos,2016,12.495866666666668
179,Morelos,2017,12.60278523489933
180,Morelos,2018,13.504403973509934
181,Morelos,2019,13.902651006711412
182,Morelos,2020,14.0433203125
183,Morelos,2021,15.537554744525547
184,Morelos,2022,18.326766666666664
185,Morelos,2023,19.74939597315436
186,Morelos,2024,19.982166666666668
187,Nayarit,2014,12.759605263157894
188,Nayarit,2015,12.633445945945946
189,Nayarit,2016,12.5183
190,Nayarit,2017,13.540000000000001
191,Nayarit,2018,12.955198675496687
192,Nayarit,2019,14.42380341880342
193,Nayarit,2020,14.838842592592593
194,Nayarit,2021,15.354965753424656
195,Nayarit,2022,17.461733333333335
196,Nayarit,2023,18.63939597315436
197,Nayarit,2024,19.003249999999998
198,Nuevo León,2014,12.320427631578946
199,Nuevo León,2015,12.038530405405407
200,Nuevo León,2016,12.0533
201,Nuevo León,2017,12.656610738255035
202,Nuevo León,2018,13.034370860927153
203,Nuevo León,2019,13.429256756756757
204,Nuevo León,2020,14.290372807017544
205,Nuevo León,2021,15.643249999999998
206,Nuevo León,2022,17.9949
207,Nuevo León,2023,19.36206375838926
208,Nuevo León,2024,20.217666666666666
209,Oaxaca,2014,10.979900662251655
210,Oaxaca,2015,11.301351351351352
211,Oaxaca,2016,11.713433333333334
212,Oaxaca,2017,11.986677852348993
213,Oaxaca,2018,12.753245033112583
214,Oaxaca,2019,12.995906040268457
215,Oaxaca,2020,13.70688034188034
216,Oaxaca,2021,14.688741721854305
217,Oaxaca,2022,17.180366666666664
218,Oaxaca,2023,18.068489932885907
219,Oaxaca,2024,19.339791666666667
220,Puebla,2014,9.529387417218542
221,Puebla,2015,9.549273648648649
222,Puebla,2016,9.584816666666667
223,Puebla,2017,9.934882550335569
224,Puebla,2018,10.551440397350992
225,Puebla,2019,10.872738970588234
226,Puebla,2020,11.249934210526316
227,Puebla,2021,12.394691780821917
228,Puebla,2022,13.7587
229,Puebla,2023,14.770419463087249
230,Puebla,2024,15.665979166666666
231,Querétaro,2014,11.909072847682118
232,Querétaro,2015,11.899662162162162
233,Querétaro,2016,11.8993
234,Querétaro,2017,12.191510067114095
235,Querétaro,2018,12.893311258278144
236,Querétaro,2019,13.694630872483224
237,Querétaro,2020,14.00639344262295
238,Querétaro,2021,15.498928571428571
239,Querétaro,2022,17.357599999999998
240,Querétaro,2023,18.72053691275168
241,Querétaro,2024,19.476791666666667
242,Quintana Roo,2014,12.745181518151815
243,Quintana Roo,2015,12.372719594594594
244,Quintana Roo,2016,12.4823
245,Quintana Roo,2017,13.015872483221477
246,Quintana Roo,2018,13.787218543046357
247,Quintana Roo,2019,14.633115384615385
248,Quintana Roo,2020,14.92702928870293
249,Quintana Roo,2021,16.155728476821192
250,Quintana Roo,2022,17.8017
251,Quintana Roo,2023,19.158137583892618
252,Quintana Roo,2024,19.816395833333335
253,San Luis Potosí,2014,10.626291390728477
254,San Luis Potosí,2015,10.678648648648648
255,San Luis Potosí,2016,10.854566666666667
256,San Luis Potosí,2017,11.353255033557048
257,San Luis Potosí,2018,11.979139072847682
258,San Luis Potosí,2019,12.630934579439252
259,San Luis Potosí,2020,14.588217391304347
260,San Luis Potosí,2021,15.78400684931507
261,San Luis Potosí,2022,17.3474
262,San Luis Potosí,2023,18.230704697986578
263,San Luis Potosí,2024,18.451416666666667
264,Sinaloa,2014,12.704801324503311
265,Sinaloa,2015,12.788817567567568
266,Sinaloa,2016,12.761833333333334
267,Sinaloa,2017,13.279463087248322
268,Sinaloa,2018,13.729933774834436
269,Sinaloa,2019,14.255168918918917
270,Sinaloa,2020,15.048849206349207
271,Sinaloa,2021,16.31546357615894
272,Sinaloa,2022,18.092033333333333
273,Sinaloa,2023,19.884395973154362
274,Sinaloa,2024,20.058291666666666
275,Sonora,2014,12.923586776859503
276,Sonora,2015,12.97677364864865
277,Sonora,2016,13.434467554076539
278,Sonora,2017,14.30006711409396
279,Sonora,2018,14.555231788079471
280,Sonora,2019,14.961835585585586
281,Sonora,2020,15.746163434903046
282,Sonora,2021,16.81564017660044
283,Sonora,2022,19.285777777777778
284,Sonora,2023,21.280590476190476
285,Sonora,2024,21.88784375
286,Tabasco,2014,12.324801324503312
287,Tabasco,2015,12.404898648648649
288,Tabasco,2016,12.617466666666667
289,Tabasco,2017,12.798691275167785
290,Tabasco,2018,13.052086092715232
291,Tabasco,2019,13.769428571428572
292,Tabasco,2020,14.283728070175439
293,Tabasco,2021,15.55751655629139
294,Tabasco,2022,16.615433333333332
295,Tabasco,2023,17.793724832214767
296,Tabasco,2024,18.248416666666667
297,Tamaulipas,2014,12.325350993377482
298,Tamaulipas,2015,12.513277027027028
299,Tamaulipas,2016,12.799607190412782
300,Tamaulipas,2017,13.301939597315435
301,Tamaulipas,2018,13.716827814569536
302,Tamaulipas,2019,14.51064864864865
303,Tamaulipas,2020,15.12544894366197
304,Tamaulipas,2021,16.39680132450331
305,Tamaulipas,2022,18.48496666666667
306,Tamaulipas,2023,20.503107382550336
307,Tamaulipas,2024,21.36825
308,Tlaxcala,2014,9.785364238410596
309,Tlaxcala,2015,9.754121621621621
310,Tlaxcala,2016,9.9193
311,Tlaxcala,2017,10.21520134228188
312,Tlaxcala,2018,10.62639072847682
313,Tlaxcala,2019,10.674087837837838
314,Tlaxcala,2020,11.443809523809524
315,Tlaxcala,2021,12.074900662251656
316,Tlaxcala,2022,13.1934
317,Tlaxcala,2023,15.065335570469799
318,Tlaxcala,2024,15.352416666666667
319,Veracruz,2014,11.831216887417218
320,Veracruz,2015,11.843505067567568
321,Veracruz,2016,11.743200431034483
322,Veracruz,2017,12.183523489932886
323,Veracruz,2018,12.135309050772626
324,Veracruz,2019,12.108691275167786
325,Veracruz,2020,12.814576023391814
326,Veracruz,2021,14.21329213483146
327,Veracruz,2022,15.7934
328,Veracruz,2023,17.255782997762864
329,Veracruz,2024,18.011194444444445
330,Yucatán,2014,12.394238410596026
331,Yucatán,2015,12.285
332,Yucatán,2016,12.787533333333334
333,Yucatán,2017,13.497348993288592
334,Yucatán,2018,14.013741721854304
335,Yucatán,2019,14.80795302013423
336,Yucatán,2020,15.647456140350876
337,Yucatán,2021,16.626324503311256
338,Yucatán,2022,18.0332
339,Yucatán,2023,20.277046979865773
340,Yucatán,2024,20.582583333333332
341,Zacatecas,2014,10.574602649006623
342,Zacatecas,2015,10.647972972972974
343,Zacatecas,2016,10.812866666666666
344,Zacatecas,2017,11.90248322147651
345,Zacatecas,2018,12.132649006622517
346,Zacatecas,2019,12.542248322147652
347,Zacatecas,2020,13.485480769230769
348,Zacatecas,2021,14.593145695364239
349,Zacatecas,2022,15.998766666666667
350,Zacatecas,2023,17.12741610738255
351,Zacatecas,2024,17.739666666666665
