State,State,Year,Crime Types
470,Coahuila de Zaragoza,2015,Daño a la propiedad
471,Coahuila de Zaragoza,2015,Despojo
472,Coahuila de Zaragoza,2015,Otros delitos contra el patrimonio
473,Coahuila de Zaragoza,2015,Violencia familiar
474,Coahuila de Zaragoza,2015,Violencia de género en todas sus modalidades distinta a la violencia familiar
475,Coahuila de Zaragoza,2015,Incumplimiento de obligaciones de asistencia familiar
476,Coahuila de Zaragoza,2015,Otros delitos contra la familia
477,Coahuila de Zaragoza,2015,Corrupción de menores
478,Coahuila de Zaragoza,2015,Trata de personas
479,Coahuila de Zaragoza,2015,Otros delitos contra la sociedad
480,Coahuila de Zaragoza,2015,Narcomenudeo
481,Coahuila de Zaragoza,2015,Amenazas
482,Coahuila de Zaragoza,2015,Allanamiento de morada
483,Coahuila de Zaragoza,2015,Evasión de presos
484,Coahuila de Zaragoza,2015,Falsedad
485,Coahuila de Zaragoza,2015,Falsificación
486,Coahuila de Zaragoza,2015,Contra el medio ambiente
487,Coahuila de Zaragoza,2015,Delitos cometidos por servidores públicos
488,Coahuila de Zaragoza,2015,Electorales
489,Coahuila de Zaragoza,2015,Otros delitos del Fuero Común
490,Colima,2015,Homicidio
491,Colima,2015,Homicidio
492,Colima,2015,Homicidio
493,Colima,2015,Homicidio
494,Colima,2015,Homicidio
495,Colima,2015,Homicidio
496,Colima,2015,Homicidio
497,Colima,2015,Homicidio
498,Colima,2015,Homicidio
499,Colima,2015,Lesiones
500,Colima,2015,Lesiones
501,Colima,2015,Lesiones
502,Colima,2015,Lesiones
503,Colima,2015,Lesiones
504,Colima,2015,Lesiones
505,Colima,2015,Lesiones
506,Colima,2015,Lesiones
507,Colima,2015,Lesiones
508,Colima,2015,Feminicidio
509,Colima,2015,Feminicidio
510,Colima,2015,Feminicidio
511,Colima,2015,Feminicidio
512,Colima,2015,Aborto
513,Colima,2015,Otros delitos que atentan contra la vida y la integridad corporal
514,Colima,2015,Secuestro
515,Colima,2015,Secuestro
516,Colima,2015,Secuestro
517,Colima,2015,Secuestro
518,Colima,2015,Secuestro
519,Colima,2015,Tráfico de menores
520,Colima,2015,Rapto
521,Colima,2015,Otros delitos que atentan contra la libertad personal
522,Colima,2015,Abuso sexual
523,Colima,2015,Acoso sexual
524,Colima,2015,Hostigamiento sexual
525,Colima,2015,Violación simple
526,Colima,2015,Violación equiparada
527,Colima,2015,Incesto
528,Colima,2015,Otros delitos que atentan contra la libertad y la seguridad sexual
529,Colima,2015,Robo
530,Colima,2015,Robo
531,Colima,2015,Robo
532,Colima,2015,Robo
533,Colima,2015,Robo
534,Colima,2015,Robo
535,Colima,2015,Robo
536,Colima,2015,Robo
537,Colima,2015,Robo
538,Colima,2015,Robo
539,Colima,2015,Robo
540,Colima,2015,Robo
541,Colima,2015,Robo
542,Colima,2015,Robo
543,Colima,2015,Robo
544,Colima,2015,Robo
545,Colima,2015,Robo
546,Colima,2015,Robo
547,Colima,2015,Robo
548,Colima,2015,Robo
549,Colima,2015,Robo
550,Colima,2015,Robo
551,Colima,2015,Robo
552,Colima,2015,Robo
553,Colima,2015,Robo
554,Colima,2015,Robo
555,Colima,2015,Robo
556,Colima,2015,Robo
557,Colima,2015,Robo
558,Colima,2015,Robo
559,Colima,2015,Robo
560,Colima,2015,Robo
561,Colima,2015,Robo
562,Colima,2015,Robo
563,Colima,2015,Robo
564,Colima,2015,Robo
565,Colima,2015,Fraude
566,Colima,2015,Abuso de confianza
567,Colima,2015,Extorsión
568,Colima,2015,Daño a la propiedad
569,Colima,2015,Despojo
570,Colima,2015,Otros delitos contra el patrimonio
571,Colima,2015,Violencia familiar
572,Colima,2015,Violencia de género en todas sus modalidades distinta a la violencia familiar
573,Colima,2015,Incumplimiento de obligaciones de asistencia familiar
574,Colima,2015,Otros delitos contra la familia
575,Colima,2015,Corrupción de menores
576,Colima,2015,Trata de personas
577,Colima,2015,Otros delitos contra la sociedad
578,Colima,2015,Narcomenudeo
579,Colima,2015,Amenazas
580,Colima,2015,Allanamiento de morada
581,Colima,2015,Evasión de presos
582,Colima,2015,Falsedad
583,Colima,2015,Falsificación
584,Colima,2015,Contra el medio ambiente
585,Colima,2015,Delitos cometidos por servidores públicos
586,Colima,2015,Electorales
587,Colima,2015,Otros delitos del Fuero Común
588,Chiapas,2015,Homicidio
589,Chiapas,2015,Homicidio
590,Chiapas,2015,Homicidio
591,Chiapas,2015,Homicidio
592,Chiapas,2015,Homicidio
593,Chiapas,2015,Homicidio
594,Chiapas,2015,Homicidio
595,Chiapas,2015,Homicidio
596,Chiapas,2015,Homicidio
597,Chiapas,2015,Lesiones
598,Chiapas,2015,Lesiones
599,Chiapas,2015,Lesiones
600,Chiapas,2015,Lesiones
601,Chiapas,2015,Lesiones
602,Chiapas,2015,Lesiones
603,Chiapas,2015,Lesiones
604,Chiapas,2015,Lesiones
605,Chiapas,2015,Lesiones
606,Chiapas,2015,Feminicidio
607,Chiapas,2015,Feminicidio
608,Chiapas,2015,Feminicidio
609,Chiapas,2015,Feminicidio
610,Chiapas,2015,Aborto
611,Chiapas,2015,Otros delitos que atentan contra la vida y la integridad corporal
612,Chiapas,2015,Secuestro
613,Chiapas,2015,Secuestro
614,Chiapas,2015,Secuestro
615,Chiapas,2015,Secuestro
616,Chiapas,2015,Secuestro
617,Chiapas,2015,Tráfico de menores
618,Chiapas,2015,Rapto
619,Chiapas,2015,Otros delitos que atentan contra la libertad personal
620,Chiapas,2015,Abuso sexual
621,Chiapas,2015,Acoso sexual
622,Chiapas,2015,Hostigamiento sexual
623,Chiapas,2015,Violación simple
624,Chiapas,2015,Violación equiparada
625,Chiapas,2015,Incesto
626,Chiapas,2015,Otros delitos que atentan contra la libertad y la seguridad sexual
627,Chiapas,2015,Robo
628,Chiapas,2015,Robo
629,Chiapas,2015,Robo
630,Chiapas,2015,Robo
631,Chiapas,2015,Robo
632,Chiapas,2015,Robo
633,Chiapas,2015,Robo
634,Chiapas,2015,Robo
635,Chiapas,2015,Robo
636,Chiapas,2015,Robo
637,Chiapas,2015,Robo
638,Chiapas,2015,Robo
639,Chiapas,2015,Robo
640,Chiapas,2015,Robo
641,Chiapas,2015,Robo
642,Chiapas,2015,Robo
643,Chiapas,2015,Robo
644,Chiapas,2015,Robo
645,Chiapas,2015,Robo
646,Chiapas,2015,Robo
647,Chiapas,2015,Robo
648,Chiapas,2015,Robo
649,Chiapas,2015,Robo
650,Chiapas,2015,Robo
651,Chiapas,2015,Robo
652,Chiapas,2015,Robo
653,Chiapas,2015,Robo
654,Chiapas,2015,Robo
655,Chiapas,2015,Robo
656,Chiapas,2015,Robo
657,Chiapas,2015,Robo
658,Chiapas,2015,Robo
659,Chiapas,2015,Robo
660,Chiapas,2015,Robo
661,Chiapas,2015,Robo
662,Chiapas,2015,Robo
663,Chiapas,2015,Fraude
664,Chiapas,2015,Abuso de confianza
665,Chiapas,2015,Extorsión
666,Chiapas,2015,Daño a la propiedad
667,Chiapas,2015,Despojo
668,Chiapas,2015,Otros delitos contra el patrimonio
669,Chiapas,2015,Violencia familiar
670,Chiapas,2015,Violencia de género en todas sus modalidades distinta a la violencia familiar
671,Chiapas,2015,Incumplimiento de obligaciones de asistencia familiar
672,Chiapas,2015,Otros delitos contra la familia
673,Chiapas,2015,Corrupción de menores
674,Chiapas,2015,Trata de personas
675,Chiapas,2015,Otros delitos contra la sociedad
676,Chiapas,2015,Narcomenudeo
677,Chiapas,2015,Amenazas
678,Chiapas,2015,Allanamiento de morada
679,Chiapas,2015,Evasión de presos
680,Chiapas,2015,Falsedad
681,Chiapas,2015,Falsificación
682,Chiapas,2015,Contra el medio ambiente
683,Chiapas,2015,Delitos cometidos por servidores públicos
684,Chiapas,2015,Electorales
685,Chiapas,2015,Otros delitos del Fuero Común
686,Chihuahua,2015,Homicidio
687,Chihuahua,2015,Homicidio
688,Chihuahua,2015,Homicidio
689,Chihuahua,2015,Homicidio
690,Chihuahua,2015,Homicidio
691,Chihuahua,2015,Homicidio
692,Chihuahua,2015,Homicidio
693,Chihuahua,2015,Homicidio
694,Chihuahua,2015,Homicidio
695,Chihuahua,2015,Lesiones
696,Chihuahua,2015,Lesiones
697,Chihuahua,2015,Lesiones
698,Chihuahua,2015,Lesiones
699,Chihuahua,2015,Lesiones
700,Chihuahua,2015,Lesiones
701,Chihuahua,2015,Lesiones
702,Chihuahua,2015,Lesiones
703,Chihuahua,2015,Lesiones
704,Chihuahua,2015,Feminicidio
705,Chihuahua,2015,Feminicidio
706,Chihuahua,2015,Feminicidio
707,Chihuahua,2015,Feminicidio
708,Chihuahua,2015,Aborto
709,Chihuahua,2015,Otros delitos que atentan contra la vida y la integridad corporal
710,Chihuahua,2015,Secuestro
711,Chihuahua,2015,Secuestro
712,Chihuahua,2015,Secuestro
713,Chihuahua,2015,Secuestro
714,Chihuahua,2015,Secuestro
715,Chihuahua,2015,Tráfico de menores
716,Chihuahua,2015,Rapto
717,Chihuahua,2015,Otros delitos que atentan contra la libertad personal
718,Chihuahua,2015,Abuso sexual
719,Chihuahua,2015,Acoso sexual
720,Chihuahua,2015,Hostigamiento sexual
721,Chihuahua,2015,Violación simple
722,Chihuahua,2015,Violación equiparada
723,Chihuahua,2015,Incesto
724,Chihuahua,2015,Otros delitos que atentan contra la libertad y la seguridad sexual
725,Chihuahua,2015,Robo
726,Chihuahua,2015,Robo
727,Chihuahua,2015,Robo
728,Chihuahua,2015,Robo
729,Chihuahua,2015,Robo
730,Chihuahua,2015,Robo
731,Chihuahua,2015,Robo
732,Chihuahua,2015,Robo
733,Chihuahua,2015,Robo
